intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
24,5.3,0.8,4.24,15.005550454719236,24.71958796464026,16.416666666666668,3.6006891750088243,12.815977491657844
24,5.3,1.2,6.359999999999999,15.005550454719236,16.30668956143396,-15.5,-3.844320156627665,11.655679843372335
24,5.3,1.5,7.949999999999999,15.005550454719236,33.037772960536685,-38.77777777777778,-9.047654427019781,29.730123350758
25,5.5,0.5,2.75,7.969361355724588,29.54163152821075,40.72222222222222,11.441345037057161,29.28087718516506
25,5.5,0.8,4.4,7.969361355724588,6.5608187780018214,16.666666666666668,9.002445591683202,7.664221074983466
25,5.5,1.2,6.6,7.969361355724588,15.968099675292615,-16.805555555555557,-9.550721232236816,7.254834323318741
25,5.5,1.5,8.25,7.969361355724588,33.461418977193674,-40.30555555555556,-20.898672718662713,19.406882836892844
26,3.8,0.5,1.9,18.564978463065007,50.044814412023975,28.72222222222222,-0.08912219458814777,28.811344416810368
26,3.8,0.8,3.04,18.564978463065007,30.48354679028512,11.472222222222221,0.4319094553374963,11.040312766884725
26,3.8,1.2,4.56,18.564978463065007,9.889128043296246,-10.916666666666666,-2.098250972266504,8.818415694400162
26,3.8,1.5,5.699999999999999,18.564978463065007,5.466453384175221,-27.916666666666668,-8.76991496909735,19.146751697569318
27,4.2,0.5,2.1,6.623631137699081,28.112980932198724,31.416666666666668,1.6529580010930331,29.763708665573635
27,4.2,0.8,3.3600000000000003,6.623631137699081,9.761728727343629,13.194444444444445,1.741966084024112,11.452478360420333
27,4.2,1.2,5.04,6.623631137699081,14.199644056586388,-11.805555555555555,-4.803430600558155,7.0021249549974005
27,4.2,1.5,6.300000000000001,6.623631137699081,28.565521080269956,-31.38888888888889,-11.798324556465264,19.590564332423625
28,5.4,0.5,2.7,11.121562740205672,32.482365859660554,40.75,8.268743112136555,32.481256887863445
28,5.4,0.8,4.32,11.121562740205672,10.162715244599669,16.13888888888889,7.145642594155532,8.993246294733357
28,5.4,1.2,6.48,11.121562740205672,17.39180220326872,-16.083333333333332,-9.229617900269215,6.853715433064117
28,5.4,1.5,8.100000000000001,11.121562740205672,33.10963177849423,-39.05555555555556,-19.698154252910072,19.357401302645485
29,6.1,0.5,3.05,5.035428171261311,43.73205224413937,45.05555555555556,6.531001134190674,38.52455442136488
